1 : 3916
10 : 3244
102 : 2388
11 : 2321
110 : 4040
114 : 2148
116 : 3148
13 : 2284
2 : 4208
23 : 3376
24 : 4748
28 : 3528
29 : 2160
3 : 3656
34 : 7914
36 : 6812
38 : 2512
39 : 5612
52 : 3516
53 : 4608
56 : 3776
58 : 2480
59 : 5176
6 : 3152
61 : 2372
63 : 4936
66 : 2304
67 : 4464
76 : 4384
85 : 8124
86 : 7924
9 : 2556
90 : 7488
93 : 3968
94 : 2776
28 53 85 : 2496
28 53 86 : 2496
28 53 90 : 2496
28 59 63 : 2596
28 59 85 : 2920
28 59 86 : 2728
28 59 90 : 2480
28 59 93 : 2272
28 63 85 : 2872
28 63 86 : 2680
28 63 90 : 2432
28 63 93 : 2272
28 67 85 : 2064
28 67 86 : 2064
28 85 86 : 3328
28 85 90 : 2928
28 85 93 : 2432
28 86 90 : 2728
28 86 93 : 2240
29 34 36 : 2160
29 34 85 : 2160
29 34 86 : 2160
29 34 90 : 2160
29 36 85 : 2160
29 36 86 : 2160
29 36 90 : 2160
29 85 86 : 2160
29 85 90 : 2160
29 86 90 : 2160
3 34 36 : 2962
3 34 39 : 2578
3 34 59 : 2328
3 34 63 : 2208
3 34 67 : 2048
3 34 85 : 3602
3 34 86 : 3602
3 34 90 : 3416
3 36 39 : 2152
3 36 85 : 3016
3 36 86 : 2968
3 36 90 : 2920
3 39 85 : 2632
3 39 86 : 2584
3 39 90 : 2440
3 59 85 : 2376
3 59 86 : 2328
3 59 90 : 2248
3 63 85 : 2256
3 63 86 : 2208
3 63 90 : 2128
3 67 85 : 2048
3 67 86 : 2048
3 85 86 : 3608
3 85 90 : 3464
3 86 90 : 3416
34 36 38 : 2256
34 36 39 : 4346
34 36 52 : 2858
34 36 53 : 3744
34 36 56 : 3528
34 36 59 : 4232
34 36 61 : 2210
34 36 63 : 3992
34 36 66 : 2160
34 36 67 : 3160
34 36 76 : 3128
34 36 85 : 6602
34 36 86 : 6602
34 36 90 : 6272
34 36 93 : 3288
34 38 85 : 2512
34 38 86 : 2504
34 38 90 : 2512
34 39 52 : 2618
34 39 53 : 2784
34 39 56 : 3432
34 39 59 : 3400
34 39 63 : 3208
34 39 67 : 2824
34 39 76 : 2824
34 39 85 : 5402
34 39 86 : 5402
34 39 90 : 4784
34 39 93 : 3128
34 52 85 : 3306
34 52 86 : 3298
34 52 90 : 2688
34 53 56 : 2112
34 53 59 : 3216
34 53 63 : 3216
34 53 67 : 2592
34 53 76 : 2592
34 53 85 : 4608
34 53 86 : 4608
34 53 90 : 4608
34 53 93 : 2112
34 53 94 : 2496
34 56 59 : 2296
34 56 63 : 2296
34 56 85 : 3776
34 56 86 : 3776
34 56 90 : 3656
34 56 93 : 2432
34 58 85 : 2288
34 58 86 : 2288
34 59 63 : 3964
34 59 67 : 3304
34 59 76 : 3280
34 59 85 : 4984
34 59 86 : 4984
34 59 90 : 4544
34 59 93 : 3472
34 61 85 : 2354
34 61 86 : 2354
34 61 90 : 2192
34 63 67 : 3064
34 63 76 : 3040
34 63 85 : 4744
34 63 86 : 4744
34 63 90 : 4304
34 63 93 : 3280
34 66 85 : 2304
34 66 86 : 2304
34 66 90 : 2160
34 67 76 : 3520
34 67 85 : 4464
34 67 86 : 4464
34 67 90 : 3976
34 67 93 : 2608
34 76 85 : 4384
34 76 86 : 4384
34 76 90 : 3896
34 76 93 : 2608
34 85 86 : 7906
34 85 90 : 7296
34 85 93 : 3776
34 85 94 : 2776
34 86 90 : 7288
34 86 93 : 3776
34 86 94 : 2768
34 90 93 : 3368
34 90 94 : 2584
36 38 85 : 2256
36 38 86 : 2256
36 38 90 : 2256
36 39 52 : 2540
36 39 56 : 3432
36 39 59 : 3064
36 39 63 : 2872
36 39 85 : 4556
36 39 86 : 4364
36 39 90 : 4208
36 39 93 : 3032
36 52 85 : 3068
36 52 86 : 2876
36 52 90 : 2720
36 53 59 : 2736
36 53 63 : 2736
36 53 85 : 3744
36 53 86 : 3744
36 53 90 : 3744
36 56 59 : 2072
36 56 63 : 2072
36 56 85 : 3528
36 56 86 : 3528
36 56 90 : 3408
36 56 93 : 2232
36 58 85 : 2192
36 59 63 : 3680
36 59 67 : 2552
36 59 76 : 2552
36 59 85 : 4424
36 59 86 : 4232
36 59 90 : 4128
36 59 93 : 3320
36 61 85 : 2228
36 61 86 : 2228
36 61 90 : 2192
36 63 67 : 2312
36 63 76 : 2312
36 63 85 : 4184
36 63 86 : 3992
36 63 90 : 3888
36 63 93 : 3128
36 66 85 : 2160
36 66 86 : 2160
36 66 90 : 2160
36 67 76 : 2264
36 67 85 : 3160
36 67 86 : 3160
36 67 90 : 2960
36 67 93 : 2120
36 76 85 : 3128
36 76 86 : 3128
36 76 90 : 2928
36 76 93 : 2120
36 85 86 : 6620
36 85 90 : 6464
36 85 93 : 3480
36 86 90 : 6272
36 86 93 : 3288
36 90 93 : 3360
38 85 86 : 2504
38 85 90 : 2512
38 86 90 : 2504
39 52 85 : 2828
39 52 86 : 2636
39 52 90 : 2192
39 53 59 : 2256
39 53 63 : 2256
39 53 85 : 2784
39 53 86 : 2784
39 53 90 : 2784
39 56 85 : 3432
39 56 86 : 3432
39 56 90 : 3312
39 56 93 : 2136
39 59 63 : 3064
39 59 67 : 2152
39 59 76 : 2152
39 59 85 : 3592
39 59 86 : 3400
39 59 90 : 3152
39 59 93 : 3016
39 63 85 : 3400
39 63 86 : 3208
39 63 90 : 2960
39 63 93 : 2824
39 67 76 : 2392
39 67 85 : 2824
39 67 86 : 2824
39 67 90 : 2336
39 76 85 : 2824
39 76 86 : 2824
39 76 90 : 2336
39 85 86 : 5420
39 85 90 : 4976
39 85 93 : 3320
39 86 90 : 4784
39 86 93 : 3128
39 90 93 : 2912
52 85 86 : 3316
52 85 90 : 2880
52 86 90 : 2680
53 56 85 : 2112
53 56 86 : 2112
53 56 90 : 2112
53 56 93 : 2112
53 59 63 : 2520
53 59 85 : 3216
53 59 86 : 3216
53 59 90 : 3216
53 63 85 : 3216
53 63 86 : 3216
53 63 90 : 3216
53 67 85 : 2592
53 67 86 : 2592
53 67 90 : 2592
53 76 85 : 2592
53 76 86 : 2592
53 76 90 : 2592
53 85 86 : 4608
53 85 90 : 4608
53 85 93 : 2112
53 85 94 : 2496
53 86 90 : 4608
53 86 93 : 2112
53 86 94 : 2496
53 90 93 : 2112
53 90 94 : 2496
56 59 63 : 2212
56 59 85 : 2296
56 59 86 : 2296
56 59 90 : 2192
56 59 93 : 2272
56 63 85 : 2296
56 63 86 : 2296
56 63 90 : 2192
56 63 93 : 2272
56 85 86 : 3776
56 85 90 : 3656
56 85 93 : 2432
56 86 90 : 3656
56 86 93 : 2432
56 90 93 : 2312
58 85 86 : 2288
59 63 67 : 2500
59 63 76 : 2488
59 63 85 : 4156
59 63 86 : 3964
59 63 90 : 3788
59 63 93 : 3328
59 67 76 : 2632
59 67 85 : 3304
59 67 86 : 3304
59 67 90 : 2960
59 67 93 : 2320
59 76 85 : 3280
59 76 86 : 3280
59 76 90 : 2936
59 76 93 : 2320
59 85 86 : 4984
59 85 90 : 4736
59 85 93 : 3664
59 86 90 : 4544
59 86 93 : 3472
59 90 93 : 3416
6 85 86 : 3102
6 85 90 : 3020
6 86 90 : 2970
61 85 86 : 2372
61 85 90 : 2192
61 86 90 : 2192
63 67 76 : 2392
63 67 85 : 3064
63 67 86 : 3064
63 67 90 : 2720
63 67 93 : 2128
63 76 85 : 3040
63 76 86 : 3040
63 76 90 : 2696
63 76 93 : 2128
63 85 86 : 4744
63 85 90 : 4496
63 85 93 : 3472
63 86 90 : 4304
63 86 93 : 3280
63 90 93 : 3224
66 85 86 : 2304
66 85 90 : 2160
66 86 90 : 2160
67 76 85 : 3520
67 76 86 : 3520
67 76 90 : 3080
67 76 93 : 2224
67 85 86 : 4464
67 85 90 : 3976
67 85 93 : 2608
67 86 90 : 3976
67 86 93 : 2608
67 90 93 : 2216
76 85 86 : 4384
76 85 90 : 3896
76 85 93 : 2608
76 86 90 : 3896
76 86 93 : 2608
76 90 93 : 2216
85 86 90 : 7288
85 86 93 : 3776
85 86 94 : 2768
85 90 93 : 3560
85 90 94 : 2584
86 90 93 : 3368
86 90 94 : 2576
1 110 24 34 : 2504
1 110 24 36 : 2456
1 110 24 85 : 2504
1 110 24 86 : 2504
1 110 24 90 : 2504
1 110 34 36 : 2800
1 110 34 85 : 2848
1 110 34 86 : 2848
1 110 34 90 : 2776
1 110 36 85 : 2800
1 110 36 86 : 2800
1 110 36 90 : 2728
1 110 85 86 : 2848
1 110 85 90 : 2776
1 110 86 90 : 2776
1 24 34 36 : 3170
1 24 34 61 : 2210
1 24 34 66 : 2160
1 24 34 85 : 3274
1 24 34 86 : 3266
1 24 34 90 : 3256
1 24 36 61 : 2228
1 24 36 66 : 2160
1 24 36 85 : 3188
1 24 36 86 : 3188
1 24 36 90 : 3152
1 24 61 85 : 2228
1 24 61 86 : 2228
1 24 61 90 : 2192
1 24 66 85 : 2160
1 24 66 86 : 2160
1 24 66 90 : 2160
1 24 85 86 : 3284
1 24 85 90 : 3256
1 24 86 90 : 3248
1 29 34 36 : 2160
1 29 34 85 : 2160
1 29 34 86 : 2160
1 29 34 90 : 2160
1 29 36 85 : 2160
1 29 36 86 : 2160
1 29 36 90 : 2160
1 29 85 86 : 2160
1 29 85 90 : 2160
1 29 86 90 : 2160
1 34 36 38 : 2112
1 34 36 61 : 2210
1 34 36 66 : 2160
1 34 36 85 : 3786
1 34 36 86 : 3786
1 34 36 90 : 3696
1 34 38 85 : 2224
1 34 38 86 : 2216
1 34 38 90 : 2224
1 34 61 85 : 2210
1 34 61 86 : 2210
1 34 61 90 : 2192
1 34 66 85 : 2160
1 34 66 86 : 2160
1 34 66 90 : 2160
1 34 85 86 : 3890
1 34 85 90 : 3808
1 34 86 90 : 3800
1 36 38 85 : 2112
1 36 38 86 : 2112
1 36 38 90 : 2112
1 36 61 85 : 2228
1 36 61 86 : 2228
1 36 61 90 : 2192
1 36 66 85 : 2160
1 36 66 86 : 2160
1 36 66 90 : 2160
1 36 85 86 : 3804
1 36 85 90 : 3696
1 36 86 90 : 3696
1 38 85 86 : 2216
1 38 85 90 : 2224
1 38 86 90 : 2216
1 61 85 86 : 2228
1 61 85 90 : 2192
1 61 86 90 : 2192
1 66 85 86 : 2160
1 66 85 90 : 2160
1 66 86 90 : 2160
1 85 86 90 : 3800
10 34 36 39 : 2134
10 34 36 59 : 2068
10 34 36 85 : 3190
10 34 36 86 : 3190
10 34 36 90 : 3016
10 34 39 85 : 2134
10 34 39 86 : 2134
10 34 59 85 : 2084
10 34 59 86 : 2084
10 34 85 86 : 3218
10 34 85 90 : 3052
10 34 86 90 : 3044
10 36 39 85 : 2152
10 36 39 86 : 2152
10 36 59 85 : 2068
10 36 59 86 : 2068
10 36 85 86 : 3208
10 36 85 90 : 3016
10 36 86 90 : 3016
10 39 85 86 : 2152
10 59 85 86 : 2084
10 85 86 90 : 3044
11 34 39 85 : 2040
11 34 39 86 : 2040
11 34 85 86 : 2320
11 34 85 90 : 2176
11 34 86 90 : 2176
11 39 85 86 : 2040
11 85 86 90 : 2176
13 34 85 86 : 2086
2 23 34 36 : 2656
2 23 34 39 : 2656
2 23 34 59 : 2752
2 23 34 63 : 2560
2 23 34 85 : 2752
2 23 34 86 : 2752
2 23 34 90 : 2528
2 23 34 93 : 2560
2 23 36 39 : 2656
2 23 36 59 : 2656
2 23 36 63 : 2464
2 23 36 85 : 2656
2 23 36 86 : 2656
2 23 36 90 : 2432
2 23 36 93 : 2464
2 23 39 59 : 2656
2 23 39 63 : 2464
2 23 39 85 : 2656
2 23 39 86 : 2656
2 23 39 90 : 2432
2 23 39 93 : 2464
2 23 59 63 : 2560
2 23 59 85 : 2752
2 23 59 86 : 2752
2 23 59 90 : 2528
2 23 59 93 : 2560
2 23 63 85 : 2560
2 23 63 86 : 2560
2 23 63 90 : 2336
2 23 63 93 : 2368
2 23 85 86 : 2752
2 23 85 90 : 2528
2 23 85 93 : 2560
2 23 86 90 : 2528
2 23 86 93 : 2560
2 23 90 93 : 2528
2 28 34 36 : 2112
2 28 34 39 : 3024
2 28 34 53 : 2496
2 28 34 59 : 2648
2 28 34 63 : 2600
2 28 34 85 : 3216
2 28 34 86 : 3216
2 28 34 90 : 2688
2 28 34 93 : 2160
2 28 36 39 : 2160
2 28 36 59 : 2288
2 28 36 63 : 2240
2 28 36 85 : 2304
2 28 36 86 : 2112
2 28 36 90 : 2064
2 28 36 93 : 2064
2 28 39 53 : 2496
2 28 39 59 : 2672
2 28 39 63 : 2672
2 28 39 85 : 3216
2 28 39 86 : 3024
2 28 39 90 : 2688
2 28 39 93 : 2256
2 28 53 59 : 2112
2 28 53 63 : 2112
2 28 53 85 : 2496
2 28 53 86 : 2496
2 28 53 90 : 2496
2 28 59 63 : 2516
2 28 59 85 : 2840
2 28 59 86 : 2648
2 28 59 90 : 2472
2 28 59 93 : 2192
2 28 63 85 : 2792
2 28 63 86 : 2600
2 28 63 90 : 2424
2 28 63 93 : 2192
2 28 85 86 : 3216
2 28 85 90 : 2880
2 28 85 93 : 2352
2 28 86 90 : 2688
2 28 86 93 : 2160
2 34 36 39 : 2672
2 34 36 59 : 2800
2 34 36 63 : 2560
2 34 36 85 : 2816
2 34 36 86 : 2816
2 34 36 90 : 2576
2 34 36 93 : 2576
2 34 39 53 : 2496
2 34 39 59 : 3184
2 34 39 63 : 2992
2 34 39 67 : 2464
2 34 39 76 : 2464
2 34 39 85 : 3728
2 34 39 86 : 3728
2 34 39 90 : 3200
2 34 39 93 : 2768
2 34 53 59 : 2208
2 34 53 63 : 2208
2 34 53 85 : 2592
2 34 53 86 : 2592
2 34 53 90 : 2592
2 34 59 63 : 2932
2 34 59 67 : 2200
2 34 59 76 : 2176
2 34 59 85 : 3448
2 34 59 86 : 3448
2 34 59 90 : 3080
2 34 59 93 : 2800
2 34 63 85 : 3208
2 34 63 86 : 3208
2 34 63 90 : 2840
2 34 63 93 : 2608
2 34 67 76 : 2272
2 34 67 85 : 2752
2 34 67 86 : 2752
2 34 67 90 : 2336
2 34 76 85 : 2704
2 34 76 86 : 2704
2 34 76 90 : 2288
2 34 85 86 : 4016
2 34 85 90 : 3488
2 34 85 93 : 2960
2 34 86 90 : 3488
2 34 86 93 : 2960
2 34 90 93 : 2624
2 36 39 59 : 2848
2 36 39 63 : 2656
2 36 39 85 : 2864
2 36 39 86 : 2672
2 36 39 90 : 2624
2 36 39 93 : 2672
2 36 59 63 : 2752
2 36 59 85 : 2992
2 36 59 86 : 2800
2 36 59 90 : 2768
2 36 59 93 : 2752
2 36 63 85 : 2752
2 36 63 86 : 2560
2 36 63 90 : 2528
2 36 63 93 : 2560
2 36 85 86 : 2816
2 36 85 90 : 2768
2 36 85 93 : 2768
2 36 86 90 : 2576
2 36 86 93 : 2576
2 36 90 93 : 2720
2 39 53 59 : 2112
2 39 53 63 : 2112
2 39 53 85 : 2496
2 39 53 86 : 2496
2 39 53 90 : 2496
2 39 59 63 : 2920
2 39 59 85 : 3376
2 39 59 86 : 3184
2 39 59 90 : 3008
2 39 59 93 : 2800
2 39 63 85 : 3184
2 39 63 86 : 2992
2 39 63 90 : 2816
2 39 63 93 : 2608
2 39 67 76 : 2032
2 39 67 85 : 2464
2 39 67 86 : 2464
2 39 67 90 : 2048
2 39 76 85 : 2464
2 39 76 86 : 2464
2 39 76 90 : 2048
2 39 85 86 : 3728
2 39 85 90 : 3392
2 39 85 93 : 2960
2 39 86 90 : 3200
2 39 86 93 : 2768
2 39 90 93 : 2624
2 53 59 85 : 2208
2 53 59 86 : 2208
2 53 59 90 : 2208
2 53 63 85 : 2208
2 53 63 86 : 2208
2 53 63 90 : 2208
2 53 85 86 : 2592
2 53 85 90 : 2592
2 53 86 90 : 2592
2 59 63 85 : 3124
2 59 63 86 : 2932
2 59 63 90 : 2828
2 59 63 93 : 2728
2 59 67 85 : 2200
2 59 67 86 : 2200
2 59 76 85 : 2176
2 59 76 86 : 2176
2 59 85 86 : 3448
2 59 85 90 : 3272
2 59 85 93 : 2992
2 59 86 90 : 3080
2 59 86 93 : 2800
2 59 90 93 : 2816
2 63 85 86 : 3208
2 63 85 90 : 3032
2 63 85 93 : 2800
2 63 86 90 : 2840
2 63 86 93 : 2608
2 63 90 93 : 2624
2 67 76 85 : 2272
2 67 76 86 : 2272
2 67 85 86 : 2752
2 67 85 90 : 2336
2 67 86 90 : 2336
2 76 85 86 : 2704
2 76 85 90 : 2288
2 76 86 90 : 2288
2 85 86 90 : 3488
2 85 86 93 : 2960
2 85 90 93 : 2816
2 86 90 93 : 2624
23 28 34 59 : 2032
23 28 34 63 : 2032
23 28 34 85 : 2032
23 28 34 86 : 2032
23 28 59 63 : 2032
23 28 59 85 : 2032
23 28 59 86 : 2032
23 28 63 85 : 2032
23 28 63 86 : 2032
23 28 85 86 : 2032
23 34 36 39 : 3016
23 34 36 56 : 2120
23 34 36 59 : 3128
23 34 36 63 : 2936
23 34 36 85 : 3272
23 34 36 86 : 3272
23 34 36 90 : 2976
23 34 36 93 : 3080
23 34 39 56 : 2120
23 34 39 59 : 2872
23 34 39 63 : 2680
23 34 39 85 : 3016
23 34 39 86 : 3016
23 34 39 90 : 2720
23 34 39 93 : 2824
23 34 53 56 : 2112
